Vivado Simulator 2017.2
Time resolution is 1 ps
==============================
Time:                   0, CLK= 0, PC=00000000
[$s0]=00000000,[$s1]=00000000,[$s2]=00000000
[$s3]=00000000,[$s4]=00000000,[$s5]=00000000
[$s6]=00000000,[$s7]=00000000,[$t0]=00000000
[$t1]=00000000,[$t2]=00000000,[$t3]=00000000
[$t4]=00000000,[$t5]=00000000,[$t6]=00000000
[$t7]=00000000,[$t8]=00000000,[$t9]=00000000
Time:                  50, CLK= 1, PC=00000004
[$s0]=00000000,[$s1]=00000000,[$s2]=00000000
[$s3]=00000000,[$s4]=00000000,[$s5]=00000000
[$s6]=00000000,[$s7]=00000000,[$t0]=00000000
[$t1]=00000000,[$t2]=00000000,[$t3]=00000000
[$t4]=00000000,[$t5]=00000000,[$t6]=00000000
[$t7]=00000000,[$t8]=00000000,[$t9]=00000000
Time:                 150, CLK= 2, PC=00000008
[$s0]=00000000,[$s1]=00000000,[$s2]=00000000
[$s3]=00000000,[$s4]=00000000,[$s5]=00000000
[$s6]=00000000,[$s7]=00000000,[$t0]=00000000
[$t1]=00000000,[$t2]=00000000,[$t3]=00000000
[$t4]=00000000,[$t5]=00000000,[$t6]=00000000
[$t7]=00000000,[$t8]=00000000,[$t9]=00000000
Time:                 250, CLK= 3, PC=0000000c
[$s0]=00000000,[$s1]=00000000,[$s2]=00000000
[$s3]=00000000,[$s4]=00000000,[$s5]=00000000
[$s6]=00000000,[$s7]=00000000,[$t0]=00000000
[$t1]=00000000,[$t2]=00000000,[$t3]=00000000
[$t4]=00000000,[$t5]=00000000,[$t6]=00000000
[$t7]=00000000,[$t8]=00000000,[$t9]=00000000
Time:                 350, CLK= 4, PC=00000010
[$s0]=00000000,[$s1]=00000000,[$s2]=00000000
[$s3]=00000000,[$s4]=00000000,[$s5]=00000000
[$s6]=00000000,[$s7]=00000000,[$t0]=00000020
[$t1]=00000000,[$t2]=00000000,[$t3]=00000000
[$t4]=00000000,[$t5]=00000000,[$t6]=00000000
[$t7]=00000000,[$t8]=00000000,[$t9]=00000000
Time:                 450, CLK= 5, PC=00000014
[$s0]=00000000,[$s1]=00000000,[$s2]=00000000
[$s3]=00000000,[$s4]=00000000,[$s5]=00000000
[$s6]=00000000,[$s7]=00000000,[$t0]=00000020
[$t1]=00000037,[$t2]=00000000,[$t3]=00000000
[$t4]=00000000,[$t5]=00000000,[$t6]=00000000
[$t7]=00000000,[$t8]=00000000,[$t9]=00000000
Time:                 550, CLK= 6, PC=00000018
[$s0]=00000020,[$s1]=00000000,[$s2]=00000000
[$s3]=00000000,[$s4]=00000000,[$s5]=00000000
[$s6]=00000000,[$s7]=00000000,[$t0]=00000020
[$t1]=00000037,[$t2]=00000000,[$t3]=00000000
[$t4]=00000000,[$t5]=00000000,[$t6]=00000000
[$t7]=00000000,[$t8]=00000000,[$t9]=00000000
Time:                 650, CLK= 7, PC=0000001c
[$s0]=00000037,[$s1]=00000000,[$s2]=00000000
[$s3]=00000000,[$s4]=00000000,[$s5]=00000000
[$s6]=00000000,[$s7]=00000000,[$t0]=00000020
[$t1]=00000037,[$t2]=00000000,[$t3]=00000000
[$t4]=00000000,[$t5]=00000000,[$t6]=00000000
[$t7]=00000000,[$t8]=00000000,[$t9]=00000000
Time:                 750, CLK= 8, PC=00000020
[$s0]=00000037,[$s1]=00000000,[$s2]=00000000
[$s3]=00000000,[$s4]=00000000,[$s5]=00000000
[$s6]=00000000,[$s7]=00000000,[$t0]=00000020
[$t1]=00000037,[$t2]=00000000,[$t3]=00000000
[$t4]=00000000,[$t5]=00000000,[$t6]=00000000
[$t7]=00000000,[$t8]=00000000,[$t9]=00000000
Time:                 850, CLK= 9, PC=00000024
[$s0]=00000037,[$s1]=00000000,[$s2]=00000000
[$s3]=00000000,[$s4]=00000000,[$s5]=00000000
[$s6]=00000000,[$s7]=00000000,[$t0]=00000020
[$t1]=00000037,[$t2]=00000000,[$t3]=00000000
[$t4]=00000000,[$t5]=00000000,[$t6]=00000000
[$t7]=00000000,[$t8]=00000000,[$t9]=00000000
Time:                 950, CLK=10, PC=00000028
[$s0]=00000037,[$s1]=00000057,[$s2]=00000000
[$s3]=00000000,[$s4]=00000000,[$s5]=00000000
[$s6]=00000000,[$s7]=00000000,[$t0]=00000020
[$t1]=00000037,[$t2]=00000000,[$t3]=00000000
[$t4]=00000000,[$t5]=00000000,[$t6]=00000000
[$t7]=00000000,[$t8]=00000000,[$t9]=00000000
Time:                1050, CLK=11, PC=0000002c
[$s0]=00000037,[$s1]=00000057,[$s2]=ffffffe9
[$s3]=00000000,[$s4]=00000000,[$s5]=00000000
[$s6]=00000000,[$s7]=00000000,[$t0]=00000020
[$t1]=00000037,[$t2]=00000000,[$t3]=00000000
[$t4]=00000000,[$t5]=00000000,[$t6]=00000000
[$t7]=00000000,[$t8]=00000000,[$t9]=00000000
Time:                1150, CLK=12, PC=00000030
[$s0]=00000037,[$s1]=00000057,[$s2]=ffffffe9
[$s3]=00000000,[$s4]=00000000,[$s5]=00000000
[$s6]=00000000,[$s7]=00000000,[$t0]=00000020
[$t1]=00000037,[$t2]=00000000,[$t3]=00000000
[$t4]=00000000,[$t5]=00000000,[$t6]=00000000
[$t7]=00000000,[$t8]=00000000,[$t9]=00000000
Time:                1250, CLK=13, PC=00000034
[$s0]=00000037,[$s1]=00000057,[$s2]=ffffffe9
[$s3]=00000000,[$s4]=00000000,[$s5]=00000000
[$s6]=00000000,[$s7]=00000000,[$t0]=00000020
[$t1]=00000037,[$t2]=00000000,[$t3]=00000000
[$t4]=00000000,[$t5]=00000000,[$t6]=00000000
[$t7]=00000000,[$t8]=00000000,[$t9]=00000000
Time:                1350, CLK=14, PC=00000038
[$s0]=00000037,[$s1]=00000057,[$s2]=ffffffe9
[$s3]=00000000,[$s4]=00000000,[$s5]=00000000
[$s6]=00000000,[$s7]=00000000,[$t0]=00000020
[$t1]=00000037,[$t2]=00000000,[$t3]=00000000
[$t4]=00000000,[$t5]=00000000,[$t6]=00000000
